iter	Passed	Remaining
0	67	66960
1	77	38451
2	87	28967
3	97	24335
4	100	19930
5	109	18093
6	118	16743
7	127	15806
8	136	15047
9	145	14420
10	154	13923
11	163	13457
12	172	13097
13	181	12807
14	190	12542
15	200	12314
16	209	12101
17	218	11908
18	227	11727
19	236	11584
20	245	11435
21	254	11316
22	259	11041
23	268	10928
24	277	10813
25	286	10716
26	294	10623
27	303	10541
28	312	10465
29	321	10392
30	330	10324
31	339	10258
32	348	10199
33	356	10134
34	365	10072
35	374	10016
36	382	9966
37	392	9933
38	401	9889
39	410	9848
40	419	9808
41	428	9769
42	437	9731
43	446	9691
44	455	9663
45	464	9636
46	473	9600
47	482	9559
48	490	9527
49	500	9502
50	508	9468
51	517	9443
52	526	9413
53	535	9384
54	544	9353
55	553	9324
56	561	9296
57	570	9269
58	579	9246
59	588	9224
60	598	9211
61	607	9192
62	617	9177
63	626	9159
64	635	9139
65	644	9115
66	653	9101
67	662	9082
68	671	9058
69	680	9039
70	689	9024
71	698	9002
72	707	8984
73	716	8966
74	725	8949
75	734	8934
76	743	8917
77	753	8900
78	762	8885
79	771	8872
80	780	8857
81	789	8839
82	798	8823
83	807	8808
84	816	8791
85	825	8772
86	834	8759
87	844	8747
88	853	8731
89	861	8714
90	870	8698
91	879	8684
92	888	8667
93	897	8653
94	906	8635
95	915	8622
96	924	8607
97	933	8591
98	942	8575
99	951	8563
100	960	8552
101	969	8539
102	979	8527
103	988	8513
104	996	8497
105	1005	8484
106	1014	8470
107	1023	8457
108	1033	8445
109	1042	8432
110	1050	8415
111	1059	8403
112	1068	8390
113	1078	8378
114	1086	8365
115	1095	8348
116	1104	8335
117	1113	8324
118	1123	8314
119	1132	8302
120	1141	8288
121	1150	8278
122	1159	8267
123	1168	8253
124	1177	8241
125	1186	8228
126	1195	8216
127	1204	8206
128	1213	8194
129	1222	8182
130	1231	8171
131	1240	8160
132	1250	8149
133	1258	8135
134	1267	8123
135	1277	8112
136	1285	8099
137	1294	8087
138	1303	8072
139	1312	8061
140	1321	8050
141	1330	8038
142	1339	8028
143	1348	8015
144	1357	8005
145	1366	7992
146	1375	7981
147	1384	7969
148	1393	7957
149	1402	7945
150	1411	7933
151	1419	7921
152	1429	7911
153	1438	7900
154	1447	7889
155	1455	7877
156	1464	7864
157	1473	7854
158	1482	7843
159	1492	7835
160	1501	7822
161	1509	7809
162	1518	7798
163	1527	7787
164	1536	7776
165	1545	7765
166	1554	7754
167	1563	7742
168	1572	7733
169	1581	7723
170	1591	7714
171	1599	7701
172	1609	7691
173	1618	7680
174	1626	7669
175	1635	7657
176	1644	7647
177	1653	7636
178	1662	7625
179	1671	7615
180	1680	7604
181	1690	7595
182	1699	7585
183	1708	7576
184	1717	7565
185	1726	7557
186	1736	7548
187	1745	7538
188	1754	7527
189	1763	7517
190	1772	7507
191	1781	7497
192	1790	7487
193	1799	7477
194	1808	7467
195	1817	7457
196	1826	7446
197	1836	7437
198	1845	7427
199	1854	7416
200	1863	7406
201	1872	7396
202	1881	7386
203	1890	7375
204	1899	7365
205	1908	7355
206	1917	7346
207	1926	7336
208	1936	7327
209	1944	7316
210	1954	7306
211	1963	7296
212	1971	7286
213	1981	7276
214	1990	7267
215	1999	7257
216	2008	7246
217	2017	7237
218	2026	7226
219	2036	7218
220	2045	7208
221	2053	7198
222	2063	7189
223	2072	7179
224	2081	7168
225	2090	7158
226	2099	7148
227	2108	7139
228	2117	7128
229	2126	7117
230	2134	7107
231	2143	7095
232	2152	7084
233	2161	7074
234	2170	7064
235	2179	7054
236	2188	7044
237	2197	7034
238	2206	7025
239	2215	7015
240	2224	7005
241	2233	6996
242	2242	6986
243	2251	6975
244	2260	6966
245	2269	6955
246	2278	6945
247	2287	6935
248	2296	6926
249	2305	6915
250	2314	6905
251	2323	6896
252	2332	6886
253	2341	6877
254	2350	6867
255	2359	6857
256	2368	6847
257	2377	6837
258	2386	6827
259	2394	6816
260	2404	6807
261	2413	6798
262	2422	6788
263	2431	6778
264	2440	6768
265	2449	6758
266	2458	6749
267	2466	6738
268	2475	6727
269	2484	6717
270	2493	6707
271	2502	6696
272	2511	6686
273	2519	6676
274	2528	6667
275	2537	6656
276	2547	6648
277	2556	6639
278	2565	6629
279	2573	6618
280	2583	6609
281	2592	6600
282	2601	6590
283	2610	6581
284	2619	6572
285	2628	6563
286	2638	6553
287	2647	6544
288	2656	6535
289	2664	6524
290	2674	6515
291	2684	6508
292	2696	6506
293	2706	6498
294	2715	6489
295	2724	6479
296	2733	6470
297	2742	6460
298	2752	6452
299	2761	6442
300	2769	6432
301	2779	6423
302	2788	6414
303	2797	6405
304	2806	6395
305	2816	6387
306	2825	6378
307	2834	6369
308	2843	6359
309	2852	6349
310	2861	6340
311	2870	6329
312	2879	6320
313	2888	6310
314	2897	6300
315	2906	6291
316	2915	6282
317	2925	6273
318	2933	6263
319	2943	6254
320	2952	6244
321	2961	6235
322	2970	6225
323	2979	6215
324	2988	6206
325	2997	6196
326	3006	6187
327	3015	6178
328	3024	6169
329	3033	6159
330	3043	6150
331	3052	6140
332	3061	6131
333	3070	6122
334	3079	6112
335	3088	6103
336	3097	6092
337	3106	6083
338	3115	6074
339	3124	6065
340	3134	6057
341	3143	6047
342	3152	6038
343	3161	6029
344	3171	6020
345	3180	6011
346	3189	6001
347	3198	5992
348	3207	5983
349	3217	5974
350	3226	5965
351	3235	5956
352	3244	5947
353	3253	5937
354	3262	5928
355	3272	5919
356	3281	5910
357	3291	5902
358	3300	5892
359	3309	5883
360	3318	5874
361	3327	5864
362	3336	5855
363	3345	5846
364	3355	5836
365	3363	5827
366	3372	5817
367	3382	5808
368	3391	5798
369	3400	5789
370	3409	5779
371	3418	5770
372	3427	5760
373	3436	5751
374	3445	5742
375	3454	5732
376	3463	5722
377	3471	5713
378	3480	5703
379	3489	5693
380	3498	5684
381	3508	5675
382	3517	5666
383	3526	5656
