iter	Passed	Remaining
0	57	57350
1	57	28772
2	57	19236
3	58	14469
4	58	11603
5	58	9696
6	58	8333
7	58	7311
8	59	6516
9	59	5880
10	59	5360
11	59	4927
12	60	4559
13	60	4245
14	60	3976
15	60	3737
16	61	3527
17	61	3339
18	61	3173
19	61	3022
20	61	2885
21	62	2760
22	62	2646
23	62	2542
24	62	2446
25	62	2358
26	63	2277
27	63	2200
28	63	2130
29	63	2064
30	64	2002
31	64	1944
32	64	1891
33	64	1839
34	64	1790
35	65	1745
36	65	1701
37	65	1660
38	65	1621
39	66	1584
40	66	1548
41	66	1515
42	66	1483
43	66	1452
44	67	1423
45	67	1395
46	67	1369
47	67	1343
48	67	1319
49	68	1295
50	68	1272
51	68	1250
52	68	1229
53	69	1209
54	69	1190
55	69	1171
56	69	1153
57	69	1135
58	70	1119
59	70	1102
60	70	1086
61	70	1071
62	71	1056
63	71	1041
64	71	1027
65	71	1014
66	71	1000
67	72	988
68	72	975
69	72	963
70	72	951
71	72	939
72	73	928
73	73	917
74	73	906
75	73	896
76	73	886
77	74	876
78	74	866
79	74	857
80	74	847
81	74	838
82	75	828
83	75	819
84	75	811
85	75	803
86	75	795
87	76	787
88	76	780
89	76	772
90	76	765
91	76	758
92	77	751
93	77	744
94	77	737
95	77	731
96	77	724
97	78	718
98	78	712
99	78	706
100	78	699
101	78	694
102	79	688
103	79	682
104	79	677
105	79	671
106	79	666
107	80	661
108	80	656
109	80	651
110	80	646
111	80	641
112	81	636
113	81	631
114	81	626
115	81	622
116	81	617
117	81	612
118	82	608
119	82	604
120	82	599
121	82	595
122	82	591
123	83	587
124	83	583
125	83	579
126	83	574
127	83	571
128	84	567
129	84	563
130	84	560
131	84	556
132	84	553
133	85	550
134	85	546
135	85	543
136	85	539
137	85	536
138	86	533
139	86	530
140	86	527
141	86	523
142	86	520
143	87	517
144	87	514
145	87	511
146	87	508
147	87	505
148	87	502
149	88	499
150	88	496
151	88	494
152	88	491
153	88	488
154	89	486
155	89	483
156	89	481
157	89	478
158	90	476
159	90	473
160	90	470
161	90	468
162	90	465
163	90	463
164	91	461
165	91	458
166	91	456
167	91	454
168	91	452
169	92	449
170	92	447
171	92	445
172	92	443
173	92	441
174	93	439
175	93	437
176	93	435
177	93	433
178	93	431
179	94	429
180	94	427
181	94	425
182	94	423
183	94	421
184	95	419
185	95	417
186	95	415
187	95	413
188	95	411
189	96	409
190	96	408
191	96	406
192	96	404
193	96	402
194	97	400
195	97	399
196	97	397
197	97	395
198	97	394
199	98	392
200	98	390
201	98	389
202	98	387
203	98	385
204	99	384
205	99	382
206	99	381
207	99	379
208	99	377
209	100	376
210	100	374
211	100	373
212	100	372
213	100	370
214	101	369
215	101	367
216	101	366
217	101	365
218	101	363
219	102	362
220	102	360
221	102	359
222	102	357
223	102	356
224	103	355
225	103	353
226	103	352
227	103	351
228	103	349
229	104	348
230	104	347
231	104	345
232	104	344
233	104	343
234	105	341
235	105	340
236	105	339
237	105	338
238	105	336
239	106	335
240	106	334
241	106	333
242	106	332
243	106	331
244	107	329
245	107	328
246	107	327
247	107	326
248	107	325
249	108	324
250	108	323
251	108	322
252	108	321
253	108	319
254	109	318
255	109	317
256	109	316
257	109	315
258	109	314
259	110	313
